N,P,K,temperature,humidity,ph,rainfall,label
16,143,204,23.714753,91.533312,5.631333,121.896166,apple
10,136,204,21.198522,92.155951,6.276199,105.855435,apple
5,136,195,22.356287,91.923605,6.264203,107.769741,apple
15,123,204,22.527093,92.547804,6.365973,115.383007,apple
3,141,197,21.981419,91.127193,6.142803,115.478915,apple
29,145,205,22.812276,92.129921,6.212303,109.338355,apple
27,120,200,21.452787,90.745319,6.110219,116.703658,apple
16,143,197,22.617116,93.519784,5.904026,116.925677,apple
33,134,205,21.036528,94.339195,6.085519,114.741273,apple
17,136,196,23.871923,90.49939,5.882156,103.054809,apple
35,138,200,21.199095,90.808194,5.671306,103.683892,apple
6,124,200,22.982081,93.84505,5.971332,109.585225,apple
40,136,202,22.852674,94.576458,5.935336,117.531403,apple
26,126,195,21.413638,92.991245,5.878569,118.397906,apple
29,139,205,23.641424,93.744615,6.155939,116.691218,apple
32,145,203,23.830537,90.844222,6.406819,109.596679,apple
30,127,204,22.500503,92.458783,6.126437,100.93439,apple
27,138,201,23.666821,93.901911,5.952368,105.400475,apple
2,140,197,22.697801,92.822234,5.534567,105.050823,apple
2,131,199,22.474205,91.227597,6.01737,124.21797,apple
28,136,200,23.062044,92.395441,6.245859,114.73991,apple
28,123,198,23.462603,91.45665,5.682751,111.77634,apple
7,141,195,23.881246,93.450676,5.514253,104.911666,apple
20,139,202,23.502014,92.21084,5.669991,107.986895,apple
2,129,201,22.782342,94.368035,5.682344,122.144995,apple
30,137,200,22.9143,90.704756,5.603413,118.604464,apple
31,137,196,22.144641,93.825674,6.400321,120.631078,apple
25,132,198,22.319441,90.851744,5.732758,100.117344,apple
40,120,197,23.805938,92.488795,5.889481,119.633555,apple
35,145,195,22.039115,94.580758,6.23195,110.980401,apple
14,140,197,23.352251,90.900547,6.071255,113.038138,apple
33,138,198,22.294235,90.69034,6.222391,122.741874,apple
29,140,195,23.64083,90.952579,5.560521,116.743132,apple
35,131,203,22.427761,93.917224,5.893491,102.723074,apple
31,121,201,23.157911,90.343969,5.731535,110.712841,apple
0,145,205,21.225034,90.098778,5.520783,113.976046,apple
1,135,203,22.778565,92.70124,5.624203,113.775922,apple
12,129,205,22.362383,91.157616,6.119432,118.683273,apple
35,142,203,21.170892,90.237302,5.895319,123.649515,apple
28,130,196,22.134506,94.676957,6.062356,112.920322,apple
38,135,203,23.761218,93.661643,5.965551,100.825956,apple
9,143,197,23.750331,92.881605,5.570021,117.660283,apple
40,144,196,22.717507,92.254799,5.987263,107.028987,apple
33,143,204,21.131608,91.957699,5.814435,122.539195,apple
18,125,203,22.443077,91.59234,6.160267,102.556581,apple
14,139,197,21.724845,92.839756,6.05653,121.696176,apple
29,132,204,23.089507,90.225073,6.096753,108.21666,apple
29,138,197,22.190554,92.437642,5.830892,121.662276,apple
36,144,196,23.651676,94.505288,6.496934,115.361127,apple
10,125,196,22.312537,90.035771,5.730557,113.068816,apple
25,143,200,23.804363,92.804416,6.024249,100.619254,apple
29,128,198,22.44075,92.707851,5.685062,121.497733,apple
35,128,205,21.072734,93.56586,6.041054,107.873702,apple
7,144,195,22.963885,93.58066,5.856481,104.647299,apple
33,121,203,22.456967,94.762854,5.605934,114.840772,apple
37,137,199,22.639464,90.184516,5.697946,108.340588,apple
36,140,198,23.343864,91.476847,6.281884,104.426799,apple
30,143,199,23.768816,90.598103,5.798351,102.264855,apple
0,133,200,23.672877,90.493557,5.708419,104.229803,apple
9,139,199,23.252308,94.541283,5.867421,105.355841,apple
13,126,204,23.109426,92.796308,6.38318,108.183792,apple
29,121,196,22.848528,94.321302,6.079497,123.597784,apple
30,122,197,21.377847,92.720437,5.573241,106.141702,apple
1,124,199,23.710591,93.273924,5.658474,112.667659,apple
22,144,196,21.911913,91.687481,6.499227,117.076128,apple
0,123,205,22.027754,92.961295,5.790993,121.134918,apple
27,139,205,22.48403,93.408192,5.77218,105.547363,apple
32,137,204,22.860066,93.128599,5.824152,117.729673,apple
20,129,201,23.410447,91.699133,5.587906,116.077793,apple
8,120,201,21.186674,91.134357,6.321152,122.233323,apple
14,128,205,22.60801,94.589006,6.22629,116.039659,apple
